UK,Max Temp,11.82,SPR,2015
UK,Max Temp,18.55,SUM,1941
UK,Max Temp,12.87,AUT,1969
UK,Max Temp,6.7,JAN,1988
UK,Max Temp,7.0,FEB,1993
UK,Max Temp,9.1,MAR,2015
UK,Max Temp,11.6,APR,1995
UK,Max Temp,15.0,MAY,1988
UK,Max Temp,17.7,JUN,2007
UK,Max Temp,19.3,JUL,2017
UK,Max Temp,18.9,AUG,1999
UK,Max Temp,16.6,SEP,2013
UK,Max Temp,13.1,OCT,1957
UK,Max Temp,9.1,NOV,1970
UK,Max Temp,7.4,DEC,1955
UK,Max Temp,6.82,WIN,1967
UK,Max Temp,11.82,SPR,1914
UK,Max Temp,18.54,SUM,1973
UK,Max Temp,12.84,AUT,1914
UK,Max Temp,6.7,JAN,1981
UK,Max Temp,7.0,FEB,1957
UK,Max Temp,9.1,MAR,1994
UK,Max Temp,11.6,APR,1990
UK,Max Temp,15.0,MAY,1971
UK,Max Temp,17.7,JUN,1996
UK,Max Temp,19.3,JUL,2016
UK,Max Temp,18.9,AUG,1945
UK,Max Temp,16.6,SEP,2010
UK,Max Temp,13.0,OCT,1997
UK,Max Temp,9.1,NOV,1924
UK,Max Temp,7.4,DEC,1936
UK,Max Temp,6.81,WIN,1914
UK,Max Temp,11.78,SPR,2016
UK,Max Temp,18.53,SUM,1970
UK,Max Temp,12.83,AUT,1961
UK,Max Temp,6.5,JAN,1995
UK,Max Temp,7.0,FEB,1938
UK,Max Temp,9.1,MAR,1993
UK,Max Temp,11.5,APR,1939
UK,Max Temp,14.9,MAY,1921
UK,Max Temp,17.7,JUN,1988
UK,Max Temp,19.3,JUL,1996
UK,Max Temp,18.9,AUG,1938
UK,Max Temp,16.6,SEP,1996
UK,Max Temp,13.0,OCT,1963
UK,Max Temp,9.0,NOV,2005
UK,Max Temp,7.3,DEC,2003
UK,Max Temp,6.79,WIN,1911
UK,Max Temp,11.76,SPR,1989
UK,Max Temp,18.53,SUM,1926
UK,Max Temp,12.81,AUT,1933
UK,Max Temp,6.5,JAN,1962
UK,Max Temp,7.0,FEB,1913
UK,Max Temp,9.1,MAR,1923
UK,Max Temp,11.5,APR,1938
UK,Max Temp,14.8,MAY,2007
UK,Max Temp,17.7,JUN,1982
UK,Max Temp,19.3,JUL,1952
UK,Max Temp,18.8,AUG,2015
UK,Max Temp,16.6,SEP,1973
UK,Max Temp,13.0,OCT,1961
UK,Max Temp,9.0,NOV,1960
UK,Max Temp,7.3,DEC,1987
UK,Max Temp,6.67,WIN,2003
UK,Max Temp,11.68,SPR,1949
UK,Max Temp,18.52,SUM,1932
UK,Max Temp,12.76,AUT,2000
UK,Max Temp,6.5,JAN,1943
UK,Max Temp,7.0,FEB,1912
UK,Max Temp,9.1,MAR,1910
UK,Max Temp,11.4,APR,1996
